Name,email,Age,Pref,blood_type
テスト隆司,lxxxxxxxxxxxxxxxxxxxxxxx@xxxxxx.fa,47,三重県,B
テスト照美,txxxxxxxxx@xxxxxxx.isl,51,福井県,A
テスト孝雄,txxxxxxxx@xxxx.vjo,59,東京都,A
テスト博史,hxxxxxxxxx@xxxxx.kd,58,兵庫県,B
テスト邦仁,dxxxxxxxxxxxxxxxxxxxxx@xxxxxxxx.xhi,46,熊本県,AB
テスト敏伸,txxxxxxxxxxxx@xxxxxxxxx.gqm,40,東京都,A
テスト麻世,mxxxxxxx@xxxxx.wf,29,宮城県,O
テスト喜八郎,uxxxx@xxxx.ga,33,佐賀県,A
テスト邦子,kxxxxxxxxx@xxxx.vmx.cw,40,佐賀県,A
テスト祭莉,hxxxxxxxxxxxxxxxxxxxxxxxx@xxxxx.okh,21,鹿児島県,A
テスト海,nxxxxxxxxx@xxxxxxxxxx.vs,29,石川県,B
テスト莉那,rxxxxxxxxxxxxxx@xxxxxx.vv,54,佐賀県,B
テスト百華,mxxxxxxxx@xxxxx.zf,49,埼玉県,B
テスト研治,kxxxxxxxx@xxxxxxxx.uc,45,神奈川県,A
テスト和秀,kxxxxxxxxxxx@xxxxxxxx.bp,54,長崎県,O
テスト矩之,nxxxxxxxxxxx@xxxxxxx.ayq,47,山口県,A
テスト真奈,mxxxxxx@xxxxxxxxxx.qmf.yx,55,鹿児島県,O
テスト重義,sxxxxxxxxxxxxxxx@xxxxxx.usq,36,埼玉県,O
テスト璃奈,rxxxxxxx@xxxxxx.hy,46,高知県,O
テスト光昭,ixxxxx@xxxxxxxxxx.bvyj.uba,47,広島県,A
テスト紫,lxxxxxxxxxxxxxxxxxxxx@xxxxxxx.bek.yl,40,宮崎県,AB
テスト徳三郎,txxxxxxxxxxxxxx@xxxx.hf.fzg,29,宮城県,AB
テスト由紀子,oxxxxxxx@xxxxxxxxx.pmy,30,岐阜県,O
テスト友里,ixxxxxxxx@xxxxx.lfz,41,神奈川県,A
テスト信次,sxxxxxxxxxx@xxxxxxxxxx.uc,43,沖縄県,A
テスト康彦,yxxxxxxxxxxxx@xxxxxxxxxx.nw,58,北海道,A
テスト仁一,jxxxxxxxxxxxx@xxxxx.gbe,47,富山県,A
テスト守友,Mxxxxxxxxxxxxxxxx@xxxx.yj,49,大阪府,B
テスト駿,sxxxxxxx@xxxx.tcm,40,高知県,A
テスト靖彦,yxxxxxxxxxxxx@xxxxxxxx.tqv,55,石川県,A
